source	line	kind	raw_target	resolved	status	note
canon/entities/people/seli_of_the_lotus_baths.md	1	fm:links	canon/entities/law/green_sky_edicts_1503.md	canon/entities/law/green_sky_edicts_1503.md	ERR-MISSING-FILE	
canon/entities/people/seven_fingers_captain.md	1	fm:links	canon/entities/places/seven_fingers.md	canon/entities/places/seven_fingers.md	OK	
canon/entities/people/seven_fingers_captain.md	1	fm:links	canon/eras/05_pax_ordica_790_860.md	canon/eras/05_pax_ordica_790_860.md	ERR-MISSING-FILE	
canon/entities/people/tammis_ardan.md	1	fm:links	canon/entities/factions/council_of_captains.md	canon/entities/factions/council_of_captains.md	OK	
canon/entities/people/tammis_ardan.md	1	fm:links	canon/eras/02_zambranic_700_800.md	canon/eras/02_zambranic_700_800.md	OK	
canon/entities/people/tamur_inqel_master_of_plates.md	1	fm:links	canon/eras/09_pamphlet_wars_1400_1503.md	canon/eras/09_pamphlet_wars_1400_1503.md	OK	
canon/entities/people/tamur_inqel_master_of_plates.md	1	fm:links	canon/systems/religions/good_old_rhythm.md	canon/systems/religions/good_old_rhythm.md	OK	
canon/entities/people/tamur_inqel_master_of_plates.md	1	fm:links	canon/systems/print/pamphlet_economy_c1400_1503.md	canon/systems/print/pamphlet_economy_c1400_1503.md	OK	
canon/entities/people/tamur_inqel_master_of_plates.md	1	fm:links	canon/systems/governance/centralization_levers_principality_c1400_1550.md	canon/systems/governance/centralization_levers_principality_c1400_1550.md	OK	
canon/entities/people/tamur_inqel_master_of_plates.md	1	fm:links	canon/entities/law/green_sky_edicts_1503.md	canon/entities/law/green_sky_edicts_1503.md	ERR-MISSING-FILE	
canon/entities/people/teyu_ir_curator.md	1	fm:links	canon/notes/rolls/high_masters_golden_cadence.md	canon/notes/rolls/high_masters_golden_cadence.md	ERR-MISSING-FILE	
canon/entities/people/teyu_ir_curator.md	1	fm:links	canon/entities/factions/synod_of_beats.md	canon/entities/factions/synod_of_beats.md	OK	
canon/entities/people/teyu_ir_curator.md	1	fm:links	canon/entities/factions/beats/house_sixth_beat.md	canon/entities/factions/beats/house_sixth_beat.md	OK	
canon/entities/people/teyu_the_grey.md	1	fm:links	canon/systems/labor/penal_transportation_c300_1050.md	canon/systems/labor/penal_transportation_c300_1050.md	OK	
canon/entities/people/teyu_the_grey.md	1	fm:links	canon/systems/religions/good_old_rhythm.md	canon/systems/religions/good_old_rhythm.md	OK	
canon/entities/people/thalen_of_tau_hi.md	1	fm:links	canon/systems/religions/good_old_rhythm.md	canon/systems/religions/good_old_rhythm.md	OK	
canon/entities/people/thalen_of_tau_hi.md	1	fm:links	canon/systems/cosmos/index.md	canon/systems/cosmos/index.md	OK	
canon/entities/people/thedos_zambrani.md	1	fm:links	canon/eras/05_pax_ordica_790_860.md	canon/eras/05_pax_ordica_790_860.md	ERR-MISSING-FILE	
canon/entities/people/zambran.md	1	fm:links	canon/eras/02_zambranic_700_800.md	canon/eras/02_zambranic_700_800.md	OK	
canon/entities/people/zambran.md	1	fm:links	canon/systems/religions/good_old_rhythm.md	canon/systems/religions/good_old_rhythm.md	OK	
canon/entities/places/coi_hi.md	1	fm:links	canon/entities/factions/guild_of_compositories.md	canon/entities/factions/guild_of_compositories.md	OK	
canon/entities/places/coi_hi.md	1	fm:links	canon/entities/factions/council_of_captains.md	canon/entities/factions/council_of_captains.md	OK	
canon/entities/places/ord_city.md	1	fm:links	[canon/timeline/point_timeline.csv]	canon/entities/places/[canon/timeline/point_timeline.csv]	ERR-MISSING-FILE	
canon/entities/places/reed_camp_district.md	1	fm:links	[canon/timeline/point_timeline.csv]	canon/entities/places/[canon/timeline/point_timeline.csv]	ERR-MISSING-FILE	
canon/entities/places/seven_fingers.md	1	fm:links	[canon/timeline/point_timeline.csv]	canon/entities/places/[canon/timeline/point_timeline.csv]	ERR-MISSING-FILE	
canon/entities/regions/bright_sea.md	1	fm:links	canon/systems/transport/navigation_currents.md	canon/systems/transport/navigation_currents.md	OK	
canon/entities/regions/kaheet_uplands.md	1	fm:links	canon/systems/planetology/hydrology.md	canon/systems/planetology/hydrology.md	OK	
canon/entities/regions/kaheet_uplands.md	1	fm:links	canon/systems/economy/currency_finance_c1800.md	canon/systems/economy/currency_finance_c1800.md	OK	
canon/entities/regions/kaheet_uplands.md	1	fm:links	[canon/eras/07_middle_cadence_disjunction_1050_1200.md]	canon/entities/regions/[canon/eras/07_middle_cadence_disjunction_1050_1200.md]	ERR-MISSING-FILE	
canon/entities/regions/kllrian_arc.md	1	fm:links	canon/notes/snapshots/known_world/known_world_c0.md	canon/notes/snapshots/known_world/known_world_c0.md	OK	
canon/entities/regions/kllrian_arc.md	1	fm:links	canon/notes/snapshots/pre_empire_c0.md	canon/notes/snapshots/pre_empire_c0.md	ERR-MISSING-FILE	
canon/entities/regions/kllrian_arc.md	1	fm:links	canon/systems/planetology/hydrology.md	canon/systems/planetology/hydrology.md	OK	
canon/entities/regions/ord_north_shelf.md	1	fm:links	canon/systems/planetology/hydrology.md	canon/systems/planetology/hydrology.md	OK	
canon/entities/regions/ord_south_riverine_belt.md	1	fm:links	canon/notes/snapshots/known_world/known_world_c0.md	canon/notes/snapshots/known_world/known_world_c0.md	OK	
canon/entities/regions/ord_south_riverine_belt.md	1	fm:links	canon/notes/snapshots/pre_empire_c0.md	canon/notes/snapshots/pre_empire_c0.md	ERR-MISSING-FILE	
canon/entities/regions/ord_south_riverine_belt.md	1	fm:links	canon/systems/planetology/hydrology.md	canon/systems/planetology/hydrology.md	OK	
canon/entities/regions/sar_littoral_belt.md	1	fm:links	canon/notes/snapshots/known_world/known_world_c0.md	canon/notes/snapshots/known_world/known_world_c0.md	OK	
canon/entities/regions/sar_littoral_belt.md	1	fm:links	canon/notes/snapshots/pre_empire_c0.md	canon/notes/snapshots/pre_empire_c0.md	ERR-MISSING-FILE	
